#{"t_start": 1749587346.6525223, "env_id": "Pendulum-v1"}
r,l,t
-1046.484115,200,3.041943
-1431.906188,200,4.001309
-1337.351886,200,4.96186
-1622.221497,200,5.864784
-1838.052955,200,6.785101
-1498.3635,200,7.760691
-1497.55223,200,8.705444
-1526.858039,200,9.62536
-1420.274091,200,10.588974
-1251.848665,200,11.495898
-1194.437861,200,12.511544
-1242.912371,200,13.495831
-1152.61585,200,14.434604
-944.878565,200,15.657014
-969.274599,200,16.720864
-1493.283172,200,17.81675
-1396.910954,200,18.832503
-939.759116,200,19.787681
-822.405673,200,20.710347
-878.143161,200,21.770626
-802.177461,200,23.051954
-865.462033,200,24.141478
-919.027798,200,25.226029
-997.059926,200,26.276662
-788.643431,200,27.333523
-807.413537,200,28.576666
-395.145457,200,29.719459
-652.285641,200,31.077019
-131.836859,200,32.806637
-129.377751,200,34.125229
-115.606992,200,35.482375
-120.729564,200,39.758132
-230.247687,200,43.088104
-125.405495,200,46.673059
-247.970022,200,50.042069
-230.402659,200,53.508733
-122.124919,200,56.837433
-1536.770832,200,60.20348
-235.186923,200,63.662153
-126.503847,200,66.989998
-116.849196,200,70.456159
-128.129735,200,73.868149
-114.96166,200,77.402109
-116.572347,200,80.727674
-128.631375,200,84.101914
-240.212153,200,87.522533
-238.289602,200,90.903404
-260.360608,200,94.315248
-123.148743,200,97.630316
-127.932898,200,100.94807
-235.568153,200,101.228063
-3.841043,200,101.420622
-3.795935,200,101.620829
-126.136033,200,101.795506
-133.299994,200,101.986382
